system:index,NDVI,Relative Humidity,Soil Moisture,Temperature_2m,Wind Speed,fire_occurrence,.geo
6,0.2242916226387024,91.86308256282935,0.6029363717528765,275.0637630987047,1.6127703350523854,980.0,"{""type"":""Point"",""coordinates"":[-111.63144922269552,56.820455311869885]}"
7,0.21830904483795166,92.27427685299291,0.5164770911887336,273.0350239718326,1.6109155521116048,629.5,"{""type"":""Point"",""coordinates"":[-116.51511311362954,58.927428833235155]}"
8,0.21324636042118073,91.11378243595428,0.27618663443483954,275.18024074154624,1.5487194425896391,9410.0,"{""type"":""Point"",""coordinates"":[-117.38092381438348,58.04444548915263]}"
19,0.16385173797607422,91.67224559333762,0.5737130027368648,273.1691349796651,1.6139209097381129,947.0,"{""type"":""Point"",""coordinates"":[-119.91926178289124,59.47712290012123]}"
24,0.1154843419790268,91.88349707714193,0.39119267019152615,272.70689326305023,1.689285871271943,1206.0,"{""type"":""Point"",""coordinates"":[-111.88256938138586,59.661236949107945]}"
41,-0.006860251538455486,91.98377610873077,0.49510775134127843,272.79759927969945,1.7274051100368268,11189.0,"{""type"":""Point"",""coordinates"":[-112.081948875475,59.54425762735834]}"
43,0.1557028442621231,93.32096867122705,0.20693223899375116,272.34312841901266,2.6154282608078048,1152.0,"{""type"":""Point"",""coordinates"":[-110.0372376796264,59.37011527304195]}"
51,0.16895660758018494,92.0930571954706,0.34614976041757584,274.23053769142246,1.8009351849407822,112.0,"{""type"":""Point"",""coordinates"":[-119.39891582741052,56.88026565116183]}"
57,0.17603112757205963,91.33945897685476,0.4984460430111243,274.8592945515764,1.644108518846377,123.0,"{""type"":""Point"",""coordinates"":[-119.2310681938387,58.43009771987291]}"
58,0.19248417019844055,91.94241785958783,0.5109860040717397,272.8338667744162,1.529824274903255,241.0,"{""type"":""Point"",""coordinates"":[-115.88695811493369,59.84970292088495]}"
59,0.19015240669250488,92.18949580156375,0.6148768568118184,275.97010256134917,1.8930859070727284,722.0,"{""type"":""Point"",""coordinates"":[-114.39784904530869,55.79702367274271]}"
68,0.175705224275589,91.86855144823653,0.29782271530435733,273.23740322445576,1.6767931959467592,129.0,"{""type"":""Point"",""coordinates"":[-111.51523059952481,59.158703106148835]}"
77,0.1398027092218399,89.17481793464782,0.2660765331874632,278.94542675113286,2.7864753962649904,319.5,"{""type"":""Point"",""coordinates"":[-110.4819406881724,50.681323108605156]}"
81,0.22006767988204956,91.29870202439821,0.27834642325890574,274.7912920656719,1.5602003467599228,716.0,"{""type"":""Point"",""coordinates"":[-117.71889373549412,58.21958336158138]}"
83,0.22244390845298767,91.30902951352607,0.27869791436155783,274.8031474358708,1.56232401857542,1393.8,"{""type"":""Point"",""coordinates"":[-117.57307106649795,58.210681554303214]}"
